Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-11-12 17:37:18+00:00),Img Match,H.Text
Max Current Unbalance,,,,,,
NEMA,empty = empty (PASS by text),[] (PASS),[] (PASS),Time format error for 2024-11-1217:37:19: time data '2024-11-1217:37:19' does not match format '%Y-%m-%d %H:%M:%S' (FAIL),,
Negative- Sequence,U2 = U2 (PASS by text),,,Time format error for 2024-11-1217:37:19: time data '2024-11-1217:37:19' does not match format '%Y-%m-%d %H:%M:%S' (FAIL),,
Zero- Sequence,U0 = U0 (PASS by text),,,2024-11-12 17:37:19 (PASS),,
,0.0% (PASS),,,,,
,0.0% (PASS),,,,,
,0.0% (PASS),,,,,
