Main View,Measurement,OCR-Right,Right-OCR,Time Stamp (None),Img Match,H.Text
Curr.Symm.Component Max,,,,,,
Positive Sequence,,"['Curr.Symm.Component', 'Positive'] (FAIL)","['Curr.', 'Symm.', 'Component', 'Positive-'] (FAIL)",,,
Negative- Sequence,,,,,,
Zero- Sequence,,,,,,
,,,,,,
,,,,,,
,,,,,,
