Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-20 17:22:12.752566),Img Match,H.Text
Max Current Unbalance,,,,,,
NEMA,empty = empty (PASS by text),[] (PASS),[] (PASS),2024-09-20 17:25:01 (PASS),,
Negative- Sequence,U2 = U2 (PASS by text),,,2024-09-20 17:24:52 (PASS),,
Zero- Sequence,U0 = U0 (PASS by text),,,2024-09-20 17:25:15 (PASS),,
,0.3% (PASS),,,,,
,0.5% (PASS),,,,,
,0.5% (PASS),,,,,
