Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-20 17:20:37.775020),Img Match,H.Text
Voltage Unbalance Max,,,,,,
NEMA,NEMA LL = LL (PASS by text),[] (PASS),[] (PASS),2024-09-20 17:23:40 (PASS),,
NEMA,NEMA LN = LN (PASS by text),,,2024-09-20 17:23:37 (PASS),,
Negative- Sequence,U2 = U2 (PASS by text),,,2024-09-20 17:23:25 (PASS),,
Zero- Sequence,U0 = U0 (PASS by text),,,2024-09-20 17:23:42 (PASS),,
,0.2% (PASS),,,,,
,0.4% (PASS),,,,,
,0.9% (PASS),,,,,
,0.9% (PASS),,,,,
