Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-10-16 08:28:59+00:00),Img Match,H.Text
L-L L-N Min Max Fund. Volt.,,,,,,
A,0.0V (PASS),[] (PASS),[] (PASS),2024-10-16 08:29:01 (PASS),,
B,0.0V (PASS),,,2024-10-16 08:29:01 (PASS),,
C,0.0V (PASS),,,2024-10-16 08:29:01 (PASS),,
Average,0.0V (PASS),,,2024-10-16 08:29:01 (PASS),,
