Main View,Measurement,OCR-Right,Right-OCR,Time Stamp (None),Img Match,H.Text
Curr. Symm. Component MaX,,,,,,
POsitive Sequence,l 1 (FAIL),"['MaX', 'POsitive'] (FAIL)","['Max', 'Positive-'] (FAIL)",,,
Negative- Sequence,l 2 (FAIL),,,,,
Zero- Sequence,lO (FAIL),,,,,
,24.92 A (FAIL),,,,,
,0.058A (PASS),,,,,
,0.114 A (FAIL),,,,,
