Main View,OCR-Right,Right-OCR,Time Stemp (None),Img Match,H.Text
Voltage Harmonics Current,,,,,
[v] Graph THD Fund.,[] (PASS),[] (PASS),,0.9277884364128113,
Fund. A B,,,,,
A,,,,,
B,,,,,
C,,,,,
