Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-20 14:46:11.988181),Img Match,H.Text
L-L L-N Max Volt. Symm. Component,,,,,,
Positive- Sequence,V1 = V1 (PASS by text),[] (PASS),[] (PASS),2024-09-20 14:48:53 (PASS),,
Negative- Sequence,V2 = V2 (PASS by text),,,2024-09-20 14:48:53 (PASS),,
,190.6V (PASS),,,,,
,1.869 V (FAIL),,,,,
