Main View,OCR-Right,Right-OCR,Time Stemp (None),Img Match,H.Text
CURRENT POWER Average Total,,,,,
0.000 kW,"['0.000', 'Average', 'CURRENT', 'Total', 'empty', 'F', 'POWER', 'kW'] (FAIL)","['Voltage', 'CA', 'C', 'B', 'AB', 'VLN', 'VLL', 'Current', 'Phasor', 'BC', 'A'] (FAIL)",,"[-0.03166687488555908, 0.04748506098985672, 0.0]",
empty,,,,,
F,,,,,
empty,,,,,
empty,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
