Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None),Img Match
Phasor  Voltage Current,,,,,
VLL VLN,190.1 v,[] (PASS),[] (PASS),,"[0.9594042897224426, 1.0, 1.0]"
Voltage,189.7 v,,,,
AB BC CA,188.6 v,,,,
Current,2.479 A,,,,
A B C,2.491 A,,,,
,2.489 A,,,,
,29.8,,,,
,-90.7,,,,
,149.7,,,,
,-30.4,,,,
,-150.2,,,,
