Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-04 16:45:49.228183),Img Match
L-L L-N Max Volt. Symm. Component,,,,,
Positive- Sequence,V1,[] (PASS),[] (PASS),,
Negative- Sequence,V2,,,,
,109.4 V,,,,
