Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None),Img Match
Phasor  Voltage Current,,,,,
VLL VLN,189.8 v,[] (PASS),[] (PASS),,"[0.9880950450897217, 1.0, 1.0]"
Voltage,189.7 v,,,,
AB BC CA,188.7 v,,,,
Current,2.483 A,,,,
A B C,2.491 A,,,,
,2.487 A,,,,
,29.8,,,,
,-90.5,,,,
,149.7,,,,
,-30.2,,,,
,-150.1,,,,
