Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-04 16:45:49.228183),Img Match
Max Voltage Unbalance,,,,,
NEMA,LL,[] (PASS),[] (PASS),,
NEMA,LN,,,,
Negative- Sequence,U2,,,,
Zero- Sequence,U0,,,,
,0.0 %,,,,
,0.3 %,,,,
,0.6 %,,,,
