Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None),Img Match
Phasor Voltage Current,,,,,
VLL VLN,190.0 v,[] (PASS),[] (PASS),,"[0.9589064121246338, 1.0, 1.0]"
Voltage,189.8 v,,,,
AB BC CA,188.8 v,,,,
Current,2.480 A,,,,
A B C,2.493 A,,,,
,2.488 A,,,,
,29.9,,,,
,-90.5,,,,
,149.7,,,,
,-30.3,,,,
,-150.0,,,,
