Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None),Img Match
Phasor Voltage Current,,,,,
VLL VLN,109.6 v,[] (PASS),[] (PASS),,"[0.9624876976013184, 1.0, 1.0]"
Voltage,109.7 v,,,,
A B C,109.0 v,,,,
Current,2.481 A,,,,
A B C,2.490 A,,,,
,2.489 A,,,,
,-0.0,,,,
,-120.3,,,,
,119.1,,,,
,-30.3,,,,
,-150.1,,,,
