Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-04 16:45:49.228183),Img Match
L-L L-N Max Volt. Symm. Component,,,,,
Positive- Sequence,V1,[] (PASS),[] (PASS),2024-09-04 16:47:36 (PASS),
Negative- Sequence,V2,,,2024-09-04 16:47:23 (PASS),
,110.0 V,,,,
