Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None),Img Match
Phasor  Voltage Current,,,,,
VLL VLN,109.4 v,[] (PASS),[] (PASS),,"[0.9846168160438538, 1.0, 1.0]"
Voltage,109.6 v,,,,
A B C,109.5 v,,,,
Current,2.479 A,,,,
A B C,2.493 A,,,,
,2.487 A,,,,
,-0.0,,,,
,-120.4,,,,
,119.2,,,,
,-30.3,,,,
,-150.0,,,,
