Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-04 16:49:07.242905),Img Match
Max Current Unbalance,,,,,
NEMA,empty,[] (PASS),[] (PASS),2024-09-04 16:50:31 (PASS),
Negative- Sequence,U2,,,2024-09-04 16:50:31 (PASS),
Zero- Sequence,U0,,,2024-09-04 16:50:41 (PASS),
,0.4 %,,,,
,0.4 %,,,,
