Main View,Measurement,OCR-Right,Right-OCR,Time Stamp (None),Img Match,H.Text
Curr. Symm. Component MaX,,,,,,
Positive- Sequence,I1 (FAIL),['MaX'] (FAIL),['Max'] (FAIL),,,
Negative- Sequence,I2 (FAIL),,,,,
Zero- Sequence,IO (FAIL),,,,,
,24.90 A (FAIL),,,,,
,0.077A (PASS),,,,,
,0.038A (PASS),,,,,
