Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None),Img Match
Voltage Harmonics Current,,,,,
[v] Graph THD Fund.,,[] (PASS),[] (PASS),,0.918870747089386
Fund. A B C,,,,,
A,,,,,
B,,,,,
c,,,,,
