Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None),Img Match
Phasor  Voltage Current,,,,,
VLL VLN,188.6 v,[] (PASS),[] (PASS),,"[0.9931397438049316, 1.0, 1.0]"
Voltage,189.1 v,,,,
AB BC CA,189.5 v,,,,
Current,2.476 A,,,,
A B C,2.481 A,,,,
,2.494 A,,,,
,30.0,,,,
,-89.8,,,,
,149.9,,,,
,-30.2,,,,
,-150.6,,,,
