Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-06 16:09:56.557010),Img Match
L-L L-N Max Volt. Symm. Component,,,,,
Positive- Sequence,V1,[] (PASS),[] (PASS),2024-09-06 16:11:36 (PASS),
Negative- Sequence,V2,,,2024-09-06 16:11:32 (PASS),
,190.0 V,,,,
