Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-06 16:13:22.318016),Img Match
Max Current Unbalance,,,,,
NEMA,empty,[] (PASS),[] (PASS),2024-09-06 16:15:08 (PASS),
Negative- Sequence,U2,,,2024-09-06 16:14:50 (PASS),
Zero- Sequence,U0,,,2024-09-06 16:15:08 (PASS),
,0.3 %,,,,
,0.3 %,,,,
