Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None),Img Match
Phasor Voltage Current,,,,,
VLL VLN,109.5 v,[] (PASS),[] (PASS),,"[0.9889318346977234, 1.0, 1.0]"
Voltage,108.7 v,,,,
A B C,109.8 v,,,,
Current,2.475 A,,,,
A B C,2.483 A,,,,
,2.494 A,,,,
,-0.0,,,,
,-119.8,,,,
,119.8,,,,
,-30.3,,,,
,-150.8,,,,
