Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-06 16:12:30.009569),Img Match
Current Unbalance Max,,,,,
NEMA,empty,[] (PASS),[] (PASS),,
Negative- Sequence,U2,,,,
Zero- Sequence,U0,,,,
,0.2 %,,,,
,0.1 %,,,,
