Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None),Img Match
Phasor Voltage Current,,,,,
VLL VLN,188.7 v,[] (PASS),[] (PASS),,"[1.0, 1.0, 1.0]"
Voltage,189.8 v,,,,
AB BC CA,189.6 v,,,,
Current,2.476 A,,,,
A B C,2.484 A,,,,
,2.495 A,,,,
,30.2,,,,
,-89.6,,,,
,150.0,,,,
,-30.2,,,,
,-150.5,,,,
