Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-06 16:11:34.436946),Img Match
Max Voltage Unbalance,,,,,
NEMA,LL,[] (PASS),[] (PASS),2024-09-06 16:13:06 (PASS),
NEMA,LN,,,2024-09-06 16:13:33 (PASS),
Negative- Sequence,U2,,,2024-09-06 16:13:20 (PASS),
Zero- Sequence,U0,,,2024-09-06 16:13:06 (PASS),
,0.2 %,,,,
,0.5 %,,,,
,0.9 %,,,,
