Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None),Img Match
Phasor Voltage Current,,,,,
VLL VLN,188.6 v,[] (PASS),[] (PASS),,"[0.9999188184738159, 1.0, 1.0]"
Voltage,189.1 v,,,,
AB BC CA,189.6 v,,,,
Current,2.479 A,,,,
A B C,2.484 A,,,,
,2.489 A,,,,
,29.9,,,,
,-89.8,,,,
,150.0,,,,
,-30.2,,,,
,-150.5,,,,
