Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None),Img Match
Voltage Harmonics Current,,,,,
[A] Graph THD Fund.,,[] (PASS),[] (PASS),,0.9951930046081543
Fund. A B C,,,,,
A,,,,,
B,,,,,
C,,,,,
