Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None),Img Match
Phasor Voltage Current,,,,,
VLL VLN,109.4 v,[] (PASS),[] (PASS),,"[0.9999470710754395, 1.0, 1.0]"
Voltage,108.6 v,,,,
A B C,109.3 v,,,,
Current,2.479 A,,,,
A B C,2.481 A,,,,
,2.489 A,,,,
,0.0,,,,
,-119.6,,,,
,120.0,,,,
,-30.2,,,,
,-150.4,,,,
