Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None),Img Match
Phasor Voltage Current,,,,,
VLL VLN,109.2 v,[] (PASS),[] (PASS),,"[0.9999973773956299, 1.0, 1.0]"
Voltage,108.9,,,,
A B C,109.9 v,,,,
Current,2.478 A,,,,
A B C,2.482 A,,,,
,2.493 A,,,,
,-0.0,,,,
,-119.5,,,,
,120.0,,,,
,-30.2,,,,
,-150.5,,,,
