Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-06 16:09:56.557010),Img Match
L-L L-N Max Volt. Symm. Component,,,,,
Positive- Sequence,V1,[] (PASS),[] (PASS),,
Negative- Sequence,V2,,,,
,109.3 V,,,,
