Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None),Img Match
Phasor  Voltage Current,,,,,
VLL VLN,109.2 v,[] (PASS),[] (PASS),,"[0.9986110329627991, 1.0, 1.0]"
Voltage,108.6 v,,,,
A B C,109.8 v,,,,
Current,2.478 A,,,,
A B C,2.481 A,,,,
,2.494 A,,,,
,0.0,,,,
,-119.6,,,,
,120.0,,,,
,-30.1,,,,
,-150.6,,,,
