Main View,Measurement,OCR-Right,Right-OCR,Time Stamp (None),Img Match,H.Text
L-L L-N Min Max Fund. Volt.,,,,,,
AB,189.8V (PASS),[] (PASS),[] (PASS),,,
BC,189.7V (PASS),,,,,
CA,189.8V (PASS),,,,,
Average,189.8V (PASS),,,,,
