Main View,OCR-Right,Right-OCR,Time Stemp (2024-09-26 10:33:35+00:00),Img Match,H.Text
Phasor Voltage Current,,,,,
VLL VLN,['c'] (FAIL),['C'] (FAIL),,"[0.9946237206459045, 1.0, 1.0]",
Voltage,,,,,
AB BC CA,,,,,
Current,,,,,
A B c,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
