Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-08-30 16:57:21.476332),Img Match
Max Curr. Symm. Component,11,[] (PASS),[] (PASS),,
Positive- Sequence,12,,,,
Negative- Sequence,10,,,,
Zero- Sequence,2.492 A,,,,
,0.006 A,,,,
,0.012 A,,,,
