Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None),Img Match
Max Voltage Unbalance,LL,[] (PASS),[] (PASS),,
NEMA,LN,,,,
NEMA,U2,,,,
Negative- Sequence,U0,,,,
Zero- Sequence,0.0 %,,,,
,0.2 %,,,,
,0.2 %,,,,
,0.2 %,,,,
