Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-08-30 16:59:01.246510),Img Match
Max Current Unbalance,empty,[] (PASS),[] (PASS),2024-08-30 17:00:04 (PASS),
NEMA,U2,,,2024-08-30 17:00:15 (PASS),
Negative- Sequence,U0,,,2024-08-30 17:00:07 (PASS),
Zero- Sequence,0.4 %,,,,
,0.5 %,,,,
,0.8 %,,,,
