Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-08-30 16:58:10.734253),Img Match
Max Curr. Symm. Component,11,[] (PASS),[] (PASS),2024-08-30 16:59:07 (PASS),
Positive- Sequence,12,,,2024-08-30 16:59:29 (PASS),
Negative- Sequence,10,,,2024-08-30 16:59:28 (PASS),
Zero- Sequence,2.499 A,,,,
,0.013 A,,,,
,0.021 A,,,,
