Main View,Measurement,OCR-Right,Right-OCR,Time Stamp (2024-11-27 13:41:10+00:00),Img Match,H.Text
Max Total Harmonic Distortion L-L L-N,,,,,,
AB,0.0% (PASS),[] (PASS),[] (PASS),2024-11-27 13:41:12 (PASS),,
BC,0.0% (PASS),,,2024-11-27 13:41:12 (PASS),,
CA,0.0% (PASS),,,2024-11-27 13:41:12 (PASS),,
