Main View,Measurement,OCR-Right,Right-OCR,Time Stamp (2024-11-27 14:01:36+00:00),Img Match,H.Text
Active Power Min Max,,,,,,
A,0.0% (PASS),[] (PASS),[] (PASS),2024-11-27 14:01:38 (PASS),,
B,0.0% (PASS),,,2024-11-27 14:01:38 (PASS),,
C,0.0% (PASS),,,2024-11-27 14:01:38 (PASS),,
Total,0.0% (PASS),,,2024-11-27 14:01:38 (PASS),,
,0.0kW (PASS),,,,,
,0.0kW (PASS),,,,,
,0.0kW (PASS),,,,,
,0.0kW (PASS),,,,,
