Main View,Measurement,OCR-Right,Right-OCR,Time Stamp (2024-11-27 13:50:36+00:00),Img Match,H.Text
Max Total Harmonic Distortion,,,,,,
A,,[] (PASS),[] (PASS),,,
B,,,,,,
C,,,,,,
