Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None),Img Match,H.Text
Voltage Unbalance Max,,,,,,
NEMA,NEMA LL = LL (PASS by text),[] (PASS),[] (PASS),,,
NEMA,NEMA LN = LN (PASS by text),,,,,
Negative- Sequence,U2 = U2 (PASS by text),,,,,
Zero- Sequence,U0 = U0 (PASS by text),,,,,
,0.0% (PASS),,,,,
,0.2% (PASS),,,,,
,0.3% (PASS),,,,,
,0.4% (PASS),,,,,
