Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-26 08:21:46.230617),Img Match,H.Text
L-L L-N Max Total Harmonic Distortion,,,,,,
AB,2.9% (PASS),[] (PASS),[] (PASS),2024-09-26 08:24:56 (PASS),,
BC,2.9% (PASS),,,2024-09-26 08:24:56 (PASS),,
CA,2.9% (PASS),,,2024-09-26 08:24:55 (PASS),,
