Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-26 08:17:17.043929),Img Match,H.Text
L-L L-N Min Max Fund. Volt.,,,,,,
AB,189.8V (PASS),[] (PASS),[] (PASS),,,
BC,189.8V (PASS),,,,,
CA,189.7V (PASS),,,,,
Average,189.8V (PASS),,,,,
