Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-26 08:17:17.043929),Img Match,H.Text
RMS Voltage L-L L-N Min Max,,,,,,
A,109.3V (PASS),[] (PASS),[] (PASS),2024-09-26 08:21:08 (PASS),,
B,109.1V (PASS),,,2024-09-26 08:21:43 (PASS),,
c,109.3V (PASS),,,2024-09-26 08:21:06 (PASS),,
Average,109.5V (PASS),,,2024-09-26 08:20:52 (PASS),,
