Main View,Measurement,OCR-Right,Right-OCR,Time Stamp (None),Img Match,H.Text
Phasor,109.2V (PASS),,,,,
Voltage Current,109.5V (PASS),[] (PASS),[] (PASS),,"[0.998852014541626, 1.0, 1.0]",
VLL VLN,109.6V (PASS),,,,,
Voltage,2.479A (PASS),,,,,
A B C,2.497A (PASS),,,,,
Current,2.502A (PASS),,,,,
A B C,0.0 (PASS),,,,,
,-120.0 (PASS),,,,,
,120.1 (PASS),,,,,
,-29.9 (PASS),,,,,
,-150.3 (PASS),,,,,
,90.0 (PASS),,,,,
,0.998852014541626 (PASS),,,,,
