Main View,Measurement,OCR-Right,Right-OCR,Time Stamp (None),Img Match,H.Text
Phasor,189.3V (PASS),,,,,
Voltage Current,189.3V (PASS),[] (PASS),[] (PASS),,"[1.0, 1.0, 1.0]",
VLL VLN,189.6V (PASS),,,,,
Voltage,2.479A (PASS),,,,,
AB BC CA,2.497A (PASS),,,,,
Current,2.501A (PASS),,,,,
A B C,30.0 (PASS),,,,,
,-89.9 (PASS),,,,,
,150.0 (PASS),,,,,
,-29.9 (PASS),,,,,
,-150.4 (PASS),,,,,
,89.9 (PASS),,,,,
,1.0 (PASS),,,,,
