Main View,Measurement,OCR-Right,Right-OCR,Time Stamp (None),Img Match,H.Text
Phasor,109.4V (PASS),,,,,
Voltage Current,109.6V (PASS),[] (PASS),[] (PASS),,"[0.9997957348823547, 1.0, 1.0]",
VLL VLN,109.9V (PASS),,,,,
Voltage,2.478A (PASS),,,,,
A B C,2.498A (PASS),,,,,
Current,2.503A (PASS),,,,,
A B C,0.0 (PASS),,,,,
,-120.1 (PASS),,,,,
,120.0 (PASS),,,,,
,-29.9 (PASS),,,,,
,-150.4 (PASS),,,,,
,89.9 (PASS),,,,,
,0.9997957348823547 (PASS),,,,,
