Main View,Measurement,OCR-Right,Right-OCR,Time Stamp (None),Img Match,H.Text
Phasor,109.3V (PASS),,,,,
Voltage Current,109.7V (PASS),[] (PASS),[] (PASS),,"[0.9999973773956299, 1.0, 1.0]",
VLL VLN,109.5V (PASS),,,,,
Voltage,2.477A (PASS),,,,,
A B C,2.499A (PASS),,,,,
Current,2.501A (PASS),,,,,
A B C,-0.0 (PASS),,,,,
,-120.3 (PASS),,,,,
,120.0 (PASS),,,,,
,-30.0 (PASS),,,,,
,-150.5 (PASS),,,,,
,89.8 (PASS),,,,,
,0.9999973773956299 (PASS),,,,,
