Main View,Measurement,OCR-Right,Right-OCR,Time Stamp (None),Img Match,H.Text
Phasor,189.3V (PASS),,,,,
Voltage Current,189.5V (PASS),[] (PASS),[] (PASS),,"[0.9995228052139282, 1.0, 1.0]",
VLL VLN,189.7V (PASS),,,,,
Voltage,2.478A (PASS),,,,,
AB BC CA,2.497A (PASS),,,,,
Current,2.498A (PASS),,,,,
A B C,30.0 (PASS),,,,,
,-89.9 (PASS),,,,,
,150.0 (PASS),,,,,
,-29.8 (PASS),,,,,
,-150.4 (PASS),,,,,
,89.9 (PASS),,,,,
,0.9995228052139282 (PASS),,,,,
