Main View,Measurement,OCR-Right,Right-OCR,Time Stamp (None),Img Match,H.Text
Phasor,109.4V (PASS),,,,,
Voltage Current,109.3V (PASS),"['A', 'B', 'C'] (FAIL)","['AB', 'BC', 'CA'] (FAIL)",,"[0.9062908291816711, 1.0, 1.0]",
VLL VLN,110.0V (PASS),,,,,
Voltage,2.477A (PASS),,,,,
A B C,2.497A (PASS),,,,,
Current,2.503A (PASS),,,,,
A B C,-0.0 (PASS),,,,,
,-120.1 (PASS),,,,,
,119.9 (PASS),,,,,
,-30.0 (PASS),,,,,
,-150.4 (PASS),,,,,
,89.9 (PASS),,,,,
,0.9062908291816711 (FAIL),,,,,
