Main View,Measurement,OCR-Right,Right-OCR,Time Stamp (None),Img Match,H.Text
Phasor,189.5V (PASS),,,,,
Voltage Current,189.6V (PASS),[] (PASS),[] (PASS),,"[0.9910949468612671, 1.0, 1.0]",
VLL VLN,190.2V (PASS),,,,,
Voltage,2.476A (PASS),,,,,
AB BC CA,2.497A (PASS),,,,,
Current,2.503A (PASS),,,,,
A B C,30.0 (PASS),,,,,
,-89.8 (PASS),,,,,
,150.1 (PASS),,,,,
,-29.8 (PASS),,,,,
,-150.2 (PASS),,,,,
,90.1 (PASS),,,,,
,0.9910949468612671 (PASS),,,,,
