Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-10-15 16:34:04+00:00),Img Match,H.Text
L-L L-N Min Max RMS Voltage,,,,,,
AB,0.0V (PASS),[] (PASS),[] (PASS),Time format error for 2024-10-1516:34:06: time data '2024-10-1516:34:06' does not match format '%Y-%m-%d %H:%M:%S' (FAIL),,
BC,0.0V (PASS),,,Time format error for 2024-10-1516:34:06: time data '2024-10-1516:34:06' does not match format '%Y-%m-%d %H:%M:%S' (FAIL),,
CA,0.0V (PASS),,,Time format error for 2024-10-1516:34:06: time data '2024-10-1516:34:06' does not match format '%Y-%m-%d %H:%M:%S' (FAIL),,
Average,0.0V (PASS),,,Time format error for 2024-10-1516:34:06: time data '2024-10-1516:34:06' does not match format '%Y-%m-%d %H:%M:%S' (FAIL),,
