Main View,OCR-Right,Right-OCR,Time Stemp (None),Img Match,H.Text
Phasor V Voltage Current,,,,,
VLL VLN,"['V', 'c'] (FAIL)","['CA', 'BC', 'AB'] (FAIL)",,"[0.9309231638908386, 1.0, 1.0]",
Voltage,,,,,
A B C,,,,,
Current,,,,,
A B c,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
