Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-26 08:32:29.094894),Img Match,H.Text
Max Crest Factor,,,,,,
A,1.458 (PASS),[] (PASS),[] (PASS),,,
B,1.456 (PASS),,,,,
c,1.457 (PASS),,,,,
