Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-26 08:33:16.322446),Img Match,H.Text
Crest Factor Max,,,,,,
A,1.471 (PASS),[] (PASS),[] (PASS),2024-09-26 08:36:23 (PASS),,
B,1.478 (PASS),,,2024-09-26 08:36:24 (PASS),,
c,1.482 (PASS),,,2024-09-26 08:36:21 (PASS),,
