Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-26 08:31:40.959338),Img Match,H.Text
Max Total Harmonic Distortion,,,,,,
A,,[] (PASS),[] (PASS),2024-09-26 08:35:10 (PASS),,
B,,,,2024-09-26 08:35:07 (PASS),,
c,,,,2024-09-26 08:34:51 (PASS),,
