Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-26 08:32:29.094894),Img Match,H.Text
Max Total Demand Distortion,,,,,,
A,2.0% (PASS),[] (PASS),[] (PASS),2024-09-26 08:35:38 (PASS),,
B,1.9% (PASS),,,2024-09-26 08:35:33 (PASS),,
c,2.0% (PASS),,,2024-09-26 08:35:34 (PASS),,
