Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None),Img Match,H.Text
Min Max RMS Current,,,,,,
A,49.6% (PASS),[] (PASS),[] (PASS),,,
B,49.8% (PASS),,,,,
c,49.8% (PASS),,,,,
Average,49.8% (PASS),,,,,
,2.482A (PASS),,,,,
,2.492A (PASS),,,,,
,2.492A (PASS),,,,,
,2.489A (PASS),,,,,
