Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-26 08:30:30.815737),Img Match,H.Text
Max Total Harmonic Distortion,,,,,,
A,,[] (PASS),[] (PASS),,,
B,,,,,,
c,,,,,,
