Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-26 08:34:48.843704),Img Match,H.Text
Min Max Residual Current,,,,,,
RMS,92.39mA (PASS),[] (PASS),[] (PASS),2024-09-26 08:38:23 (PASS),,
Fund.,33.59mA (PASS),,,2024-09-26 08:38:31 (PASS),,
