Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-26 08:31:40.959338),Img Match,H.Text
Max Total Demand Distortion,,,,,,
A,1.8% (PASS),[] (PASS),[] (PASS),,,
B,1.9% (PASS),,,,,
c,1.9% (PASS),,,,,
