Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-08 22:12:18.719626),Img Match
Max Current Unbalance,,,,,
NEMA,0.3% (PASS),[] (PASS),[] (PASS),2024-08-13 17:28:11 / 2263447.719626 seconds (FAIL),
Negative- Sequence,0.6% (PASS),,,2024-08-13 17:27:27 / 2263491.719626 seconds (FAIL),
Zero- Sequence,0.8% (PASS),,,2024-08-13 17:27:25 / 2263493.719626 seconds (FAIL),
,,,,,
,,,,,
,,,,,
